,conferenceHomeRank,conferenceL10Rank,conferenceRank,conferenceRoadRank,divisionHomeRank,divisionL10Rank,divisionRank,divisionRoadRank,gamesPlayed,goalsAgainst,goalsScored,lastUpdated,leagueHomeRank,leagueL10Rank,leagueRank,leagueRecord.losses,leagueRecord.ot,leagueRecord.type,leagueRecord.wins,leagueRoadRank,points,regulationWins,row,streak.streakCode,streak.streakNumber,streak.streakType,team.id,team.link,team.name,wildCardRank
0,6,2,1,1,4,2,1,1,24,73,90,2019-11-22T19:05:40Z,9,5,1,4,4,league,16,1,36,10,13,L1,1,losses,15,/api/v1/teams/15,Washington Capitals,0
1,1,1,2,7,1,1,2,3,20,49,67,2019-11-22T19:05:40Z,1,2,2,3,1,league,16,14,33,10,14,W5,5,wins,2,/api/v1/teams/2,New York Islanders,0
2,8,12,5,4,5,7,3,2,22,66,77,2019-11-22T19:05:40Z,13,22,10,8,1,league,13,9,27,8,12,L1,1,losses,12,/api/v1/teams/12,Carolina Hurricanes,0
3,3,9,7,9,2,5,4,5,22,59,74,2019-11-22T19:05:40Z,5,16,13,7,4,league,11,17,26,8,10,OT2,2,ot,5,/api/v1/teams/5,Pittsburgh Penguins,1
4,5,8,8,8,3,4,5,4,22,68,68,2019-11-22T19:05:40Z,7,13,14,7,4,league,11,16,26,7,8,W1,1,wins,4,/api/v1/teams/4,Philadelphia Flyers,2
5,12,13,12,10,7,8,6,6,21,69,55,2019-11-22T19:05:40Z,24,23,23,8,4,league,9,18,22,5,9,W3,3,wins,29,/api/v1/teams/29,Columbus Blue Jackets,6
6,11,5,14,16,6,3,7,8,19,67,64,2019-11-22T19:05:40Z,17,10,27,8,2,league,9,30,20,8,9,W1,1,wins,3,/api/v1/teams/3,New York Rangers,8
7,14,11,15,13,8,6,8,7,20,74,51,2019-11-22T19:05:40Z,29,19,30,9,4,league,7,24,18,5,6,L1,1,losses,1,/api/v1/teams/1,New Jersey Devils,9
0,2,6,3,3,1,3,1,2,22,56,78,2019-11-22T19:05:40Z,2,11,3,3,5,league,14,8,33,14,14,W2,2,wins,6,/api/v1/teams/6,Boston Bruins,0
1,7,3,4,2,3,1,2,1,22,80,84,2019-11-22T19:05:40Z,11,6,6,5,5,league,12,5,29,7,9,W3,3,wins,13,/api/v1/teams/13,Florida Panthers,0
